[STARTED] Container: c1 | PID: 2806
[STOPPED] Container: c1 | PID: 2806
[STARTED] Container: c1 | PID: 3639
[STOPPED] Container: c1 | PID: 3639
[STARTED] Container: c1 | PID: 4029
[STOPPED] Container: c1 | PID: 4029
[STARTED] Container: c2 | PID: 4096
[STOPPED] Container: c2 | PID: 4096
[STARTED] Container: c2 | PID: 4103
[STOPPED] Container: c2 | PID: 4103
[STARTED] Container: c1 | PID: 8446
[STARTED] Container: c2 | PID: 8448
[STARTED] Container: c3 | PID: 8447
[STOPPED] Container: c1 | PID: 8446
[STOPPED] Container: c2 | PID: 8448
[STARTED] Container: c1 | PID: 2282
[STOPPED] Container: c1 | PID: 2282
[STARTED] Container: c1 | PID: 2305
[STOPPED] Container: c1 | PID: 2305
[STARTED] Container: c2 | PID: 2405
[STOPPED] Container: c2 | PID: 2405
